 INDEX;LOCATOR;TYPE;C;NAME                          ;LAT   ;LON    ;ELEV;DD.MM.YYYY HH:mm;DIR;K; FF; FG;G1h;G10; FX;FX1;FFM;  TL;  TD;  T5;  TX;  TN; TX6; TN6; TX1; TN1; TN5;  TW;Tsfc;T-05;T-10;T-20;T-50;T-1m; RR6h;   QFE;   QFF; QNH;  AP;A;www;960;961;962;963;           MetarWX;W1;W2;     WWZ; LTNG; VIS;COV;N;L;HLC;   ClCmCh;LAYER1;LAYER2;LAYER3;LAYER4;CLG;     PIC;VCLOUD1;VCLOUD2;VCLOUD3;VCLOUD4;  VFOG;   RR;TR;RR10m; RR1h;hh;RR24h;WRTR;SNO;NEW;SR;GS;SS24;Sh;S10;GL24;DF24;LW24;GL1h;DF1h;LW1h;GL10;DF10;LW10;  HW;PW;DW1; HW1;P1;DW2; HW2;P2;  HS;PS;I;B;
076480;      /;SYNA;/;Salon                         ;N43 36;E005 06;  58;17.11.2015 06:00;  0;/;  0; 21; 21; 11;  /;  /;  /;  20;  13;  -2; 103;  18;   /;   /;  39;  18;   /;   /;   /;   /;   /;   /;   /;   /;    0;1014.5;1021.9;   /;   8;1; 44;  /;  /;  /;  /;                FG; /; /;       /;    /; 0.8;  /;/;/;  7;        /;     /;     /;     /;     /; 07;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
075790;      /;SYNA;/;Orange                        ;N44 08;E004 52;  57;17.11.2015 06:00;  0;/;  0; 45; 17;  0;  /;  /;  /;  39;  33;  13; 147;  39;   /;   /;  51;  39;   /;   /;   /;   /;   /;   /;   /;   /;    0;1015.3;1022.2;   /;   6;1;  0;  /;  /;  /;  /;                 /; /; /;       /;    /;  16;  /;/;/;  7;        /;     /;     /;     /;     /; 07;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;   ~0;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
072660;      /;SYNA;/;Auxerre-Perrigny              ;N47 49;E003 33; 152;17.11.2015 06:00;210;/; 66;131;131;107;  /;  /;  /; 122; 103; 116; 133; 122;   /;   /; 128; 122; 119;   /;   /;   /; 112; 112; 117; 135;    0; 999.0;1017.3;   /;  -6;6;  0;  /;  /;  /;  /;                 /; /; /;       /;    /;  11;OVC;8;8; 22;        /;     /;     /;     /;     /; 22;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; 0;  37; 0;  /; 123;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
074970;      /;SYNA;/;Bourg-St-Maurice              ;N45 37;E006 46; 865;17.11.2015 06:00;  0;/;  0; 27; 14; 07;  /;  /;  /;  30; -17;  -3;  81;  28;   /;   /;  35;  28;   /;   /;   /;   /;  68;  76;  93; 115;    0; 922.6;  1527;   /;   2;0;  3;  /;  /;  /;  /;                 /; 1; 1;       /;    /;  40;SCT;5;0;  /;      Ci2;5CI200;     /;     /;     /;200;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; 0; 386; 0;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
074820;      /;SYNA;/;Amberieu                      ;N45 59;E005 20; 250;17.11.2015 06:00;290;/; 09; 41; 41; 16;  /;  /;  /;  34;  28;   6;  94;  31;   /;   /;  45;  33;  60;   /;   /;   /; 111; 117; 121; 137;   ~0; 993.2;1024.4;   /;  -3;5; 10;  /;  /;  /;  /;                BR; /; /;       /;    /; 2.6;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;   ~0;12;    /;    0; /;   ~0;   /;  0;  /; /; 1; 505; 0;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
070030;      /;SYNA;/;Le Touquet                    ;N50 31;E001 37;   5;17.11.2015 06:00;260;/; 54;176;123; 99;  /;  /;  /; 145; 113; 132; 148; 130;   /;   /; 146; 145;   /;   /;   /;   /;   /;   /;   /;   /;    5;1005.7;1008.1;   /;  13;1;  0;  /;  /;  /;  /;                 /; /; /;       /;    /;  12;  /;/;4; 50;        /;     /;     /;     /;     /; 50;       /;      /;      /;      /;      /;     /;  6.8;12;    /;    0; /;  7.2;   /;  0;  /; /; /;   0; 0;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
070610;      /;SYNA;/;Saint-Quentin                 ;N49 49;E003 13;  98;17.11.2015 06:00;230;/; 90;171;162;128;  /;  /;  /; 141; 133; 134; 143; 128;   /;   /; 143; 141; 118;   /;   /;   /; 119; 119; 121; 125;  4.2; 998.2;1009.8;   /;   0;5; 50;  /;  /;  /;  /;               -DZ; /; /;       /;    /;  19;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  5.6;12;    /;   ~0; /;  5.8;   /;  0;  /; /; 2;   0; 0;  /; 170;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
075580;      /;SYNA;/;Millau                        ;N44 07;E003 01; 712;17.11.2015 06:00;250;/; 07; 75; 38; 24;  /;  /;  /;  29;  22;  11;  65;  19;   /;   /;  49;  26;  23;   /;   /;   /; 104; 114; 120; 126;    0; 940.3;1026.0;   /;   8;0; 45;  /;  /;  /;  /;                FG; /; /;       /;    /; 0.3;  /;/;/;  /;        /;     /;     /;     /;     /; 00;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;   ~0;   /;  1;  /; /; /; 432; 0;  /; 914;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
071530;      /;SYNA;/;Melun                         ;N48 37;E002 41;  91;17.11.2015 06:00;220;/; 98;174;162;148;  /;  /;  /; 140; 130; 134; 145; 134;   /;   /; 140; 138;   /;   /;   /;   /; 127; 127; 130; 138;    /;1002.8;1013.8;   /;  -3;5;  0;  /;  /;  /;  /;                 /; /; /;       /;    /;  13;OVC;8;8; 14;        /;     /;     /;     /;     /; 14;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  0;  /; /; 2;   9; 0;  /; 218;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
072450;      /;SYNA;/;Blois                         ;N47 41;E001 13; 119;17.11.2015 06:00;220;/; 97;150;137;132;  /;  /;  /; 139; 131; 134; 146; 134;   /;   /; 139; 137; 126;   /;   /;   /; 130; 132; 133; 142;  0.6;1000.5;1016.0;   /;  -1;5; 51;  /;  /;  /;  /;               -DZ; /; /;       /;    /;   8;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.6;12;    /;  0.2; /;  0.6;   /;  0;  /; /; 2;   2; 0;  /; 257;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
071430;      /;SYNA;/;Chartres                      ;N48 28;E001 30; 155;17.11.2015 06:00;210;/; 58;143;107;104;  /;  /;  /; 144; 139; 139; 144; 130;   /;   /; 144; 142; 130;   /;   /;   /; 131; 132; 134; 140;  1.4; 995.0;1013.3;   /;  -2;6; 58;  /;  /;  /;  /;              DZRA; /; /;       /;    /;  15;OVC;8;8;  6;        /;     /;     /;     /;     /; 06;       /;      /;      /;      /;      /;     /;    2;12;    /;  0.2; /;    2;   /;  0;  /; /; 2;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
075240;      /;SYNA;/;Agen                          ;N44 10;E000 35;  58;17.11.2015 06:00;110;/; 29; 56; 52; 46;  /;  /;  /;  57;  54;  60; 108;  56;   /;   /;  59;  57; 103;   /;   /;   /; 127; 131; 138; 148;    0;1016.8;1025.4;   /;  -2;7; 45;  /;  /;  /;  /;                FG; /; /;       /;    /; 0.3;OBS;9;0;  /;        /;OBS001;     /;     /;     /; 00;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  /;  /; /; /;  72; 0;  /; 378;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
076320;      /;SYNA;/;Albi                          ;N43 55;E002 07; 172;17.11.2015 06:00;120;/; 09; 44; 28; 21;  /;  /;  /;  55;  51;  52;  90;  34;   /;   /;  55;  54;  30;   /;   /;   /; 106; 127; 137; 154;    0;1005.3;1026.5;   /;   5;0; 10;  /;  /;  /;  /;                BR; /; /;       /;    /; 3.6;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;  0.2;   /;  0;  /; /; 0;   0; 0;  /; 143;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
073160;      /;SYNA;/;La Rochelle/Ile de Re         ;N46 11;W001 11;  20;17.11.2015 06:00;210;/; 71;134;113;109;  /;  /;  /; 150; 140;   /; 157; 148;   /;   /; 150; 148;   /;   /;   /;   /;   /;   /;   /;   /;  0.8;1018.1;1020.3;   /;   1;2; 61;  /;  /;  /;  /;               -RA; /; /;       /;    /; 1.9;OVC;8;8;  6;        /;     /;     /;     /;     /; 06;       /;      /;      /;      /;      /;     /;  0.8;12;    /;  0.4; /;  0.8;   /;  0;  /; /; 2; 132; 0;  /; 472;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
073300;      /;SYNA;/;Niort                         ;N46 19;W000 24;  57;17.11.2015 06:00;210;/; 56;112;103; 86;  /;  /;  /; 131; 126; 126; 145; 131;   /;   /; 132; 131; 127;   /;   /;   /; 129; 135; 130; 146;  0.6;1013.1;1020.5;   /;   0;5; 53;  /;  /;  /;  /;                DZ; /; /;       /;    /; 2.0;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.8;12;    /;  0.2; /;  0.8;   /;  0;  /; /; 2;  54; 0;  /; 362;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
075400;      /;SYNA;/;Montauban                     ;N44 02;E001 23; 106;17.11.2015 06:00;240;/; 18; 48; 44; 28;  /;  /;  /;  42;  41;  32;  77;  29;   /;   /;  51;  42;  89;   /;   /;   /; 123; 130; 142; 155;    0;1012.8;1026.2;   /;   1;0; 10;  /;  /;  /;  /;                BR; /; /;       /;    /; 4.8;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;  0.2;   /;  0;  /; /; 1;  10; 0;  /; 251;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
073860;      /;SYNA;/;Dole Tavaux                   ;N47 02;E005 26; 195;17.11.2015 06:00;180;/; 28; 95; 83; 46;  /;  /;  /;  85;  68;  76;  98;  67;   /;   /;  89;  85;  43;   /;   /;   /;   /;   /;   /;   /;    0; 998.3;1022.0;   /;  -3;5;  0;  /;  /;  /;  /;                 /; /; /;       /;    /;  15;BKN;7;7; 47;        /;     /;     /;     /;     /; 47;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; 0; 349; 0;  /; 676;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
073000;      /;SYNA;/;St-Sauveur                    ;N46 41;W002 20;  32;17.11.2015 06:00;240;/; 78;199;136;126;  /;  /;  /; 156; 150;   /; 160; 152;   /;   /; 157; 156;   /;   /;   /;   /;   /;   /;   /;   /;  0.6;1014.5;1018.3;   /;   6;3;  2;  /;  /;  /;  /;                 /; 2; /;       /;    /;   7;OVC;8;8; 70;      Ac9;8AC070;     /;     /;     /; 70;       /;      /;      /;      /;      /;     /;  0.6;12;    /;    0; /;  0.8;   /;  /;  /; /; 1;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
071000;      /;SYNA;/;Ouessant                      ;N48 28;W005 04;  64;17.11.2015 06:00;230;/;110;187;167;158;  /;  /;  /; 143; 140;   /; 151; 140;   /;   /; 143; 141;   /;   /;   /;   /;   /;   /;   /;   /;  0.2;1003.6;1011.7;   /;   3;0;  2;  /;  /;  /;  /;                 /; 2; /;       /;    /;  10;OVC;8;8; 26;      St7;8ST026;     /;     /;     /; 26;       /;      /;      /;      /;      /;     /;  1.6;12;    /;   ~0; /;  2.4;   /;  /;  /; /; 1;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
071810;      /;SYNA;/;Nancy/Ochey                   ;N48 35;E005 58; 336;17.11.2015 06:00;190;/; 66;120;120;102;  /;  /;  /; 102;  90;  94; 112; 101;   /;   /; 109; 102;  92;   /;   /;   /; 105; 105; 112; 124;    1; 975.4;1016.2;   /; -13;6; 61;  /;  /;  /;  /;               -RA; /; /;       /;    /; 3.5;OVC;8;8; 16;        /;     /;     /;     /;     /; 16;       /;      /;      /;      /;      /;     /;    1;12;    /;    1; /;    1;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;41300  ;BUOY;/;BUOY                          ;N15 54;W057 30;dv01;17.11.2015 06:00;100;/; 77;  /;  /;  /;  /;  /;  /; 261; 198;   /;   /;   /;   /;   /;   /;   /;   /; 277;   /;   /;   /;   /;   /;   /;    /;     /;1012.8;   /; -12;7;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /; 1.9; /;/;/;
789250;      /;SYNA;/;Le Lamentin                   ;N14 35;W061 00;   8;17.11.2015 06:00; 80;/; 37;  /; 63; 51;  /;  /;  /; 257; 220; 244;   /;   /;   /;   /; 265; 257;   /;   /;   /;   /; 287; 292; 292; 295;   ~0;1011.5;1012.4;   /; -15;8;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;  42;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;   ~0;12;    /;    0; /;   ~0;   /;  /;  /; /; /;   /; 0;  /;   /;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085830;      /;SYNO;/;Mindelo/Sao Pedro             ;N16 50;W025 03;  17;17.11.2015 06:00; 50;/; 93;  /;  /;  /;  /;  /;  /; 256; 217;   /;   /; 253;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1015.1;   /;   /;/;  6;  /;  /;  /;  /;             DU/SA; 5; 2;       /;    /;   7;SCT;7;3; 18;Cu2Ac3Ci4;3SC018;7CI200;     /;     /;200;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085890;      /;SYNO;/;Praia                         ;N14 56;W023 29;  95;17.11.2015 06:00; 30;/; 41;  /;  /;  /;  /;  /;  /; 256; 206;   /;   /; 255;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1014.0;   /;   /;/;508;  /;  /;  /;  /;                 /; /; /;       /;    /;  10;BKN;7;1; 16;   Sc5Ac3;1SC016;7AC100;     /;     /;100;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085940;      /;SYNO;/;Sal                           ;N16 44;W022 57;  53;17.11.2015 06:00; 40;/; 67;  /;  /;  /;  /;  /;  /; 261; 175;   /;   /; 256;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1014.0;   /;   /;/;508;  /;  /;  /;  /;                 /; /; /;       /;    /;  10;BKN;7;2; 16;   Cu2Ac3;2SC016;7AC100;     /;     /;100;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44027  ;BUOY;/;Jonesport                     ;N44 18;W067 18;dv/1;17.11.2015 05:50;330;/;110;  /;  /;  /;  /;  /;  /;  42;  -5;   /;   /;   /;   /;   /;   /;   /;   /; 101;   /;   /;   /;   /;   /;   /;    /;     /;1025.8;   /;  18;1;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.0; 5;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44007  ;BUOY;/;Portland                      ;N43 30;W070 06;dv/1;17.11.2015 05:50;330;/; 80;  /;  /;  /;  /;  /;  /;  39; -34;   /;   /;   /;   /;   /;   /;   /;   /;  92;   /;   /;   /;   /;   /;   /;    /;     /;1030.0;   /;  18;2;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 0.5; 3;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44018  ;BUOY;/;SE Cape Cod                   ;N42 06;W069 42;dv/1;17.11.2015 05:50; 10;/;110;  /;  /;  /;  /;  /;  /;  65;  -7;   /;   /;   /;   /;   /;   /;   /;   /; 110;   /;   /;   /;   /;   /;   /;    /;     /;1027.9;   /;  17;1;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 2.5; 8;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44020  ;BUOY;/;BUOY                          ;N41 24;W070 12;dv/1;17.11.2015 05:50; 10;/;100;  /;  /;  /;  /;  /;  /;  75;  -2;   /;   /;   /;   /;   /;   /;   /;   /; 115;   /;   /;   /;   /;   /;   /;    /;     /;1027.9;   /;  24;2;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 0.5; 4;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44008  ;BUOY;/;Nantucket                     ;N40 30;W069 12;dv/1;17.11.2015 05:50; 10;/;110;  /;  /;  /;  /;  /;  /;  93;  33;   /;   /;   /;   /;   /;   /;   /;   /; 139;   /;   /;   /;   /;   /;   /;    /;     /;1026.0;   /;  22;3;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.5; 6;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44065  ;BUOY;/;BUOY                          ;N40 24;W073 42;dv/1;17.11.2015 05:50; 40;/;110;  /;  /;  /;  /;  /;  /; 127;  40;   /;   /;   /;   /;   /;   /;   /;   /; 150;   /;   /;   /;   /;   /;   /;    /;     /;1026.2;   /;  15;1;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 0.5; 4;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44025  ;BUOY;/;Long Island                   ;N40 18;W073 12;dv/1;17.11.2015 05:50; 50;/;100;  /;  /;  /;  /;  /;  /; 133;   /;   /;   /;   /;   /;   /;   /;   /;   /; 149;   /;   /;   /;   /;   /;   /;    /;     /;1026.1;   /;  17;1;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.0; 4;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;44014  ;BUOY;/;Virginia Beach                ;N36 36;W074 48;dv/1;17.11.2015 05:50;320;/; 30;  /;  /;  /;  /;  /;  /; 165;   /;   /;   /;   /;   /;   /;   /;   /;   /; 180;   /;   /;   /;   /;   /;   /;    /;     /;1024.9;   /;   0;4;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 0.0;10;100; 0.5;10;  /;   /; /;   /; /;/;/;
     /;41013  ;BUOY;/;Frying Pan Sho                ;N33 24;W077 42;dv/1;17.11.2015 05:50; 20;/; 50;  /;  /;  /;  /;  /;  /; 205; 130;   /;   /;   /;   /;   /;   /;   /;   /; 237;   /;   /;   /;   /;   /;   /;    /;1023.4;1023.8;   /;   /;/;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 0.5;11;100; 0.5;11;  /;   /; /;   /; /;/;/;
     /;41004  ;BUOY;/;Edisto                        ;N32 30;W079 06;dv/1;17.11.2015 05:50; 60;/; 80;  /;  /;  /;  /;  /;  /; 224; 159;   /;   /;   /;   /;   /;   /;   /;   /; 249;   /;   /;   /;   /;   /;   /;    /;     /;1022.4;   /; -11;8;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.0; 4;  /; 0.5; 8;  /;   /; /;   /; /;/;/;
     /;46061  ;BUOY;/;Seal Rocks                    ;N60 12;W146 48;dv/1;17.11.2015 05:50;330;/;130;  /;  /;  /;  /;  /;  /; -27;   /;   /;   /;   /;   /;   /;   /;   /;   /;  83;   /;   /;   /;   /;   /;   /;    /;     /; 990.3;   /;   0;4;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.0; 4;200; 0.5; 7;  /;   /; /;   /; /;/;/;
     /;46082  ;BUOY;/;Cape Suckling                 ;N59 42;W143 24;dv/1;17.11.2015 05:50;220;/; 80;  /;  /;  /;  /;  /;  /;  11; -28;   /;   /;   /;   /;   /;   /;   /;   /;  91;   /;   /;   /;   /;   /;   /;    /;     /; 989.1;   /;   0;4;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.0; 6;180; 0.5;16;  /;   /; /;   /; /;/;/;
     /;46076  ;BUOY;/;BUOY                          ;N59 30;W148 00;dv/1;17.11.2015 05:50;270;/;110;  /;  /;  /;  /;  /;  /; -26; -83;   /;   /;   /;   /;   /;   /;   /;   /;  82;   /;   /;   /;   /;   /;   /;    /;     /; 991.3;   /;   4;2;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 1.5; 7;200; 1.0;14;  /;   /; /;   /; /;/;/;
     /;46083  ;BUOY;/;Fairweather                   ;N58 18;W138 00;dv/1;17.11.2015 05:50;290;/;100;  /;  /;  /;  /;  /;  /;  37;  -9;   /;   /;   /;   /;   /;   /;   /;   /;  88;   /;   /;   /;   /;   /;   /;    /;     /; 990.6;   /;  25;2;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 2.5; 7;220; 0.5;15;  /;   /; /;   /; /;/;/;
     /;46035  ;BUOY;/;Bering Sea                    ;N57 00;W177 42;dv/1;17.11.2015 05:50;240;/;100;  /;  /;  /;  /;  /;  /;  29;   /;   /;   /;   /;   /;   /;   /;   /;   /;  55;   /;   /;   /;   /;   /;   /;    /;     /;1014.5;   /; -23;8;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 2.0; 7;  /;   /; /;  /;   /; /;   /; /;/;/;
     /;46005  ;BUOY;/;W Astoria                     ;N46 00;W131 00;dv/1;17.11.2015 05:50;250;/;120;  /;  /;  /;  /;  /;  /; 149;   /;   /;   /;   /;   /;   /;   /;   /;   /; 146;   /;   /;   /;   /;   /;   /;    /;     /;1013.0;   /;   0;4;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 6.0; 8;280; 5.0;12;  /;   /; /;   /; /;/;/;
     /;46002  ;BUOY;/;West Oregon                   ;N42 36;W130 30;dv/1;17.11.2015 05:50;260;/; 90;  /;  /;  /;  /;  /;  /; 155;   /;   /;   /;   /;   /;   /;   /;   /;   /; 158;   /;   /;   /;   /;   /;   /;    /;     /;1023.1;   /;   3;2;509;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    /; /;    /;    /; /;    /;   /;  /;  /; /; /;   /; /;  /;   /;   /;   /;   /;   /;   /;   /;   /;   /; 4.5; 8;310; 4.0;13;  /;   /; /;   /; /;/;/;
